work_id,added_at,offer_url,position_name,company_name,company_location,type_of_contract,work_schedule,work_modes,employment_level,immediate_employment,ukrainian_without_polish_language,vacancies
17099,2022-12-02 13:48:58.255747+01,"https://www.pracuj.pl/praca/redaktor-prowadzacy-warszawa-kolejowa-15-17,oferta,1002242246?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Redaktor Prowadzący,Wydawnictwo Preston Publishing,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17100,2022-12-02 13:48:58.257707+01,"https://www.pracuj.pl/praca/specjalista-ds-bezpieczenstwa-it-w-zespole-rozwoju-bezpieczenstwa-it-warszawa-lopuszanska-38c,oferta,1002212940?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. bezpieczeństwa IT w zespole rozwoju bezpieczeństwa IT,ALIOR BANK,"Warszawa, Włochy",Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17101,2022-12-02 13:48:58.259929+01,"https://www.pracuj.pl/praca/senior-specialist-financial-capital-market-warszawa,oferta,1002203379?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Specialist - Financial & Capital Market,ING Bank Śląski S.A.,Warszawa,Umowa o pracę,Pełny etat,"praca stacjonarna, praca hybrydowa",Starszy specjalista (Senior),,,
17102,2022-12-02 13:48:58.26203+01,"https://www.pracuj.pl/praca/project-manager-branded-content-video-warszawa-zwirki-i-wigury-16,oferta,1002203383?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Project Manager Branded Content Video,Wirtualna Polska Media S.A.,"Warszawa, Włochy",Kontrakt B2B,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17103,2022-12-02 13:48:58.264519+01,"https://www.pracuj.pl/praca/konsultant-medyczny-urologia-warszawa,oferta,1002205895?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Konsultant Medyczny – Urologia,Aurovitas Pharma Polska sp. z o.o.,Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17104,2022-12-02 13:48:58.266736+01,"https://www.pracuj.pl/praca/monter-pomp-ciepla-do-przyuczenia-mazowieckie,oferta,9550883?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Monter Pomp Ciepła = do przyuczenia,HYMON FOTOWOLTAIKA SP. Z O. O.,mazowieckie,Umowa o pracę,Pełny etat,praca mobilna,Pracownik fizyczny,,,
17105,2022-12-02 13:48:58.269044+01,"https://www.pracuj.pl/praca/senior-consultant-mazowieckie,oferta,9585305?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Consultant,Unity Group,mazowieckie,"Umowa o pracę, Kontrakt B2B",Pełny etat,"praca stacjonarna, praca hybrydowa, praca zdalna","Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,szukamy wielu kandydatów
17106,2022-12-02 13:48:58.271353+01,"https://www.pracuj.pl/praca/broker-ubezpieczeniowy-ds-ubezpieczen-majatkowych-warszawa,oferta,1002212926?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Broker Ubezpieczeniowy ds. Ubezpieczeń Majątkowych,PROSPECTOR,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,"praca stacjonarna, praca hybrydowa",Specjalista (Mid / Regular),,,
17107,2022-12-02 13:48:58.273787+01,"https://www.pracuj.pl/praca/specjalista-ds-sprzedazy-sales-manager-warszawa,oferta,1002212927?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Sprzedaży / Sales Manager,Polski Holding Hotelowy sp. z o.o.,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17108,2022-12-02 13:48:58.276266+01,"https://www.pracuj.pl/praca/specjalista-ds-regulacji-i-rynku-ciepla-warszawa-zlota-59,oferta,1002212925?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Regulacji i Rynku Ciepła,PGE Energia Ciepła S.A.,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17109,2022-12-02 13:48:58.278332+01,"https://www.pracuj.pl/praca/senior-java-developer-tech-lead-warszawa-woloska-22,oferta,1002210070?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Java developer / Tech lead,Connectmedica Sp. z o.o.,"Warszawa, Mokotów",Kontrakt B2B,Pełny etat,praca hybrydowa,Starszy specjalista (Senior),,,
17110,2022-12-02 13:48:58.282235+01,"https://www.pracuj.pl/praca/technik-farmaceutyczny-warszawa-aleja-wilanowska-89,oferta,1002242232?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Technik Farmaceutyczny,Cosmedica Sp. z o.o.,"Warszawa, Mokotów",Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17111,2022-12-02 13:48:58.285502+01,"https://www.pracuj.pl/praca/senior-node-js-developer-warszawa-zlota-59,oferta,1002235679?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Node.js Developer,Chimera Prime Sp z o.o.,"Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,,
