offer_url,position_name,company_name,company_location,type-of-contract,work-schedule,work-modes,employment-level,immediate-employment,ukrainian-without-polish-language,vacancies
"https://www.pracuj.pl/praca/senior-biznes-analityk-erp-warszawa,oferta,1002009135?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Senior Biznes Analityk ERP,Grafton Recruitment,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,praca hybrydowa,"Starszy specjalista (Senior), Ekspert",,,
"https://www.pracuj.pl/praca/specjalista-specjalistka-ds-bezpieczenstwa-informacji-warszawa,oferta,1001974437?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Specjalista/Specjalistka ds. bezpieczeństwa informacji,Agora S.A. ,Warszawa,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/analityk-danych-analityczka-danych-warszawa,oferta,1001983992?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Analityk Danych / Analityczka Danych,Orange Polska,"Warszawa, Ochota",Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/data-architect-warszawa,oferta,1001988891?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Data Architect ,ING ,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/business-analyst-in-data-delivery-for-monitoring-and-validation-squad-warszawa,oferta,1001988888?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Business Analyst in Data Delivery for Monitoring and Validation Squad,ING ,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/data-analyst-in-model-validation-squad-warszawa,oferta,1001988885?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Data Analyst in Model Validation Squad,ING ,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
"https://www.pracuj.pl/praca/partnerships-meal-manager-warszawa,oferta,1001983322?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Partnerships MEAL Manager,"FUNDACJA ""INTERNATIONAL RESCUE COMMITTEE POLSKA""","Warszawa, Wola",Umowa o pracę,Pełny etat,,"Kierownik / Koordynator, Menedżer",,,
"https://www.pracuj.pl/praca/analityk-danych-i-raportowania-warszawa,oferta,1002008851?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Analityk danych i raportowania,The Adecco Group,Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/market-risk-quant-model-validation-senior-expert-alm-warszawa,oferta,1001988881?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Market Risk Quant - Model Validation - Senior Expert (ALM),ING ,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,Ekspert,,,
"https://www.pracuj.pl/praca/sas-developer-data-engineer-warszawa,oferta,1001988879?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",SAS developer/Data engineer,ING ,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
